id;name;geoid;geoname;DM;datetime;;;;;;;
600;Precio mercado SPOT Diario;3;España;49.21;2015-01-12T06:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;62.01;2015-01-12T07:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;63.89;2015-01-12T08:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;70;2015-01-12T09:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;70.69;2015-01-12T10:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;70.52;2015-01-12T11:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;67.11;2015-01-12T12:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;64.3;2015-01-12T13:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;62.01;2015-01-12T14:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;60.76;2015-01-12T15:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;62.01;2015-01-12T16:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;63.5;2015-01-12T17:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;66.2;2015-01-12T18:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;69.7;2015-01-12T19:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;67.69;2015-01-12T20:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;62.99;2015-01-12T21:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;54.56;2015-01-12T22:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;48.96;2015-01-12T23:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;46.17;2015-01-13T00:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;42;2015-01-13T01:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;40.8;2015-01-13T02:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;39.69;2015-01-13T03:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;39.2;2015-01-13T04:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;40;2015-01-13T05:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;44.93;2015-01-13T06:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;58.34;2015-01-13T07:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;62.2;2015-01-13T08:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;66.2;2015-01-13T09:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;68.52;2015-01-13T10:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;66.49;2015-01-13T11:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;63.31;2015-01-13T12:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;61.84;2015-01-13T13:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;57.46;2015-01-13T14:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;57.59;2015-01-13T15:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;60.69;2015-01-13T16:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;62.56;2015-01-13T17:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;67.11;2015-01-13T18:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;70.2;2015-01-13T19:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;69.1;2015-01-13T20:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;63.89;2015-01-13T21:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;61.84;2015-01-13T22:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;54.96;2015-01-13T23:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;48.04;2015-01-14T00:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;43.22;2015-01-14T01:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;43.05;2015-01-14T02:00:00;;;;;;;
600;Precio mercado SPOT Diario;3;España;43.21;2015-01-14T03:00:00;;;;;;;
